Species,Order,Family,Genus,EADDC,BDT C,UDT
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,231.1,11.9,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,214.8,14.4,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,316,10,32
Dialeurodes citri,Homoptera,Aleyrodidae,Dialeurodes,,11.5,
Parabemisia myricae,Homoptera,Aleyrodidae,Parabemisia,265,12.8,30.6
Trialeurodes vaporariorum,Homoptera,Aleyrodidae,Trialeurodes,271.5,9,
Trialeurodes vaporariorum,Homoptera,Aleyrodidae,Trialeurodes,368.5,9.7,
Trialeurodes vaporariorum,Homoptera,Aleyrodidae,Trialeurodes,483.4,2.92,
Trialeurodes vaporariorum,Homoptera,Aleyrodidae,Trialeurodes,380.7,8.3,
Rhinacola forticornis,Homoptera,Aphalaridae,Rhinacola,,,
Rhinacola forticornis,Homoptera,Aphalaridae,Rhinacola,,,
Rhinacola forticornis,Homoptera,Aphalaridae,Rhinacola,,,
Acyrthosiphon gossypii ,Homoptera,Aphididae,Acyrthosiphon,116.8,5.72,25
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,140.4,2.8,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,155.7,2.6,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,272.2,-7,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,168,0,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,165,1.2,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,122.5,4.9,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,102.5,5.1,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,103.7,5.4,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,109.6,5.4,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,104.8,5.6,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,75.6,8.2,
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,141.9,4.1,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,,,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,110.3,5.5,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,111.9,6.3,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,118,4,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,105,5.1,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,104,5.6,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,135.4,3.1,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,,,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,105,4.2,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,113,4.3,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,103,4.7,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,100,4.8,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,99,4.9,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,, ,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,150.4,2.4,28
Acyrthosiphon pisum ,Homoptera,Aphididae,Acyrthosiphon,122.8,5.07,24
Acyrthosiphon pisum ,Homoptera,Aphididae,Acyrthosiphon,110.65,5.93,23
Acyrthosiphon pisum ,Homoptera,Aphididae,Acyrthosiphon,104.98,6.84,25
Aphis citricola,Homoptera,Aphididae,Aphis,, ,
Aphis citricola ,Homoptera,Aphididae,Aphis,100.78,8.23,27.2
Aphis craccivora,Homoptera,Aphididae,Aphis,80,8.3,
Aphis craccivora,Homoptera,Aphididae,Aphis,, ,
Aphis craccivora,Homoptera,Aphididae,Aphis,, ,
Aphis craccivora,Homoptera,Aphididae,Aphis,, ,
Aphis craccivora,Homoptera,Aphididae,Aphis,82.39,8.68,23
Aphis fabae,Homoptera,Aphididae,Aphis,160.92,3.68,
Aphis fabae,Homoptera,Aphididae,Aphis,112,6,
Aphis fabae f. cirsicacauthoidis,Homoptera,Aphididae,Aphis,197.81,1.9,
Aphis glycines,Homoptera,Aphididae,Aphis,95.12,5.59,
Aphis gossypii,Homoptera,Aphididae,Aphis,87,6.5,
Aphis gossypii,Homoptera,Aphididae,Aphis,,,
Aphis gossypii,Homoptera,Aphididae,Aphis,106.8,5,
Aphis gossypii,Homoptera,Aphididae,Aphis,108.9,6.2,
Aphis gossypii,Homoptera,Aphididae,Aphis,90.1,7,
Aphis gossypii,Homoptera,Aphididae,Aphis,, ,
Aphis gossypii,Homoptera,Aphididae,Aphis,106.61,5.9,
Aphis gossypii,Homoptera,Aphididae,Aphis,,10.5,
Aphis gossypii,Homoptera,Aphididae,Aphis,64.6,6.5,
Aphis gossypii,Homoptera,Aphididae,Aphis,107.1,12.6,
Aphis gossypii,Homoptera,Aphididae,Aphis,144.35,2.28,
Aphis gossypii,Homoptera,Aphididae,Aphis,99.4,7.1,
Aphis gossypii,Homoptera,Aphididae,Aphis,110.77,5.9,25
Aphis gossypii,Homoptera,Aphididae,Aphis,110.81,7.9,27.5
Aphis gossypii,Homoptera,Aphididae,Aphis,101.55,4.94,27
Aphis gossypii,Homoptera,Aphididae,Aphis,81.28,7.52,25
Aphis gossypii,Homoptera,Aphididae,Aphis,113.1,4.8,25
Aphis nasturtii,Homoptera,Aphididae,Aphis,133.16,6.5,35.6
Aphis nasturtii,Homoptera,Aphididae,Aphis,125.67,7.41,27
Aphis nerii,Homoptera,Aphididae,Aphis,87.4,9.4,
Aphis nerii,Homoptera,Aphididae,Aphis,82.1,10.1,
Aphis nerii,Homoptera,Aphididae,Aphis,74.1,11.3,
Aphis nerii,Homoptera,Aphididae,Aphis,, ,
Aphis pomi,Homoptera,Aphididae,Aphis,115.4,6,
Aphis pomi,Homoptera,Aphididae,Aphis,117.81,5.32,28
Aphis pomi,Homoptera,Aphididae,Aphis,151.34,6.38,25
Aphis punicae,Homoptera,Aphididae,Aphis,68.48,11.71,27.5
Aphis solanella,Homoptera,Aphididae,Aphis,109.01,8.45,
Aulacorthum solani,Homoptera,Aphididae,Aulacorthum,149.68,2.69,
Aulacorthum solani,Homoptera,Aphididae,Aulacorthum,,1,
Aulacorthum solani,Homoptera,Aphididae,Aulacorthum ,138.61,3.58,25
Aulacorthum solani,Homoptera,Aphididae,Aulacorthum,145.79,4.18,25
Brachycaudus rumexicolens,Homoptera,Aphididae,Brachycaudus,101.71,7.11,
Brachycaudus rumexicolens,Homoptera,Aphididae,Brachycaudus,86.15,7.18,
Brachycaudus schwartzi,Homoptera,Aphididae,Brachycaudus,190.87,3.6,
Brachycorynella asparagi,Homoptera,Aphididae,Brachycorynella,, ,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,,3.2,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,163,4.7,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,127,5,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,182,6.5,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,136,7.1,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,,5.8,30
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,,5,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,126,6.7,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,166,6.7,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,153.87,2.94,25
Dactynotus gobonis,Homoptera,Aphididae,Dactynotus,163.61,2.64,26
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,150.4,1.4,
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,139.6,2.9,
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,,,
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,,,
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,,,
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,,,
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,,,
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,148.5,4.1,32.6
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,148,3.8,
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,138.7,4.16,27
Diuraphis noxia,Homoptera,Aphididae,Diuraphis,162.24,4.81,25
Drepanosiphum acerinum,Homoptera,Aphididae,Drepanosiphum,250,3.5,
Drepanosiphum platanoidis,Homoptera,Aphididae,Drepanosiphum,250,0.5,
Eriosoma lanigerum,Homoptera,Aphididae,Eriosoma,267.63,5.19,32
Hyperomyzus lactucae,Homoptera,Aphididae,Hyperomyzus,,,
Chaetosiphon fragaefolii,Homoptera,Aphididae,Chaetosiphon,, ,
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,132.21,3.04,
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,111.4,5.7,
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,116,6.4,
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,111.33,5.69,
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,116.25,6.32,
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,121.61,4.12,
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,120.48,4.33,
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,89.06,8.48,25
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,96.16,7.27,24.7
Lipaphis erysimi,Homoptera,Aphididae,Lipaphis,115.36,6.62,22
Longistigma liquidambarus,Homoptera,Aphididae,Longistigma,,,
Longiunguis saccharina,Homoptera,Aphididae,Longiunguis,101.16,5.81,25
Macrosiphoniella sanborni,Homoptera,Aphididae,Macrosiphoniella,98.86,8.1,25
Macrosiphum albifrons,Homoptera,Aphididae,Macrosiphum,148,4,
Macrosiphum avenae,Homoptera,Aphididae,Macrosiphum,117,4.8,
Macrosiphum avenae,Homoptera,Aphididae,Macrosiphum,89.35,7.14,23
Macrosiphum avenae,Homoptera,Aphididae,Macrosiphum,91.51,6.73,22
Macrosiphum avenae,Homoptera,Aphididae,Macrosiphum,106.05,6.35,27
Macrosiphum avenae,Homoptera,Aphididae,Macrosiphum,99.3,7.11,22
Macrosiphum avenae,Homoptera,Aphididae,Macrosiphum,107.28,6.26,24
Macrosiphum euphorbiae,Homoptera,Aphididae,Macrosiphum,,,
Macrosiphum euphorbiae,Homoptera,Aphididae,Macrosiphum,,,
Macrosiphum euphorbiae,Homoptera,Aphididae,Macrosiphum,149.1,4.67,25
Macrosiphum euphorbiae,Homoptera,Aphididae,Macrosiphum,142.71,3.27,25
Masonaphis maxima,Homoptera,Aphididae,Masonaphis,125,3.9,
Megoura japonica,Homoptera,Aphididae,Megoura,105.55,6.45,23
Metopolophium dirhodum,Homoptera,Aphididae,Metopolophium,172.19,2.1,
Metopolophium dirhodum,Homoptera,Aphididae,Metopolophium,116.7,4.2,
Metopolophium dirhodum,Homoptera,Aphididae,Metopolophium,101.4,4.9,
Metopolophium dirhodum,Homoptera,Aphididae,Metopolophium,,,
Metopolophium dirhodum,Homoptera,Aphididae,Metopolophium,172.46,2.07,25
Myzocallis coryli,Homoptera,Aphididae,Myzocallis,, ,
Myzus persicae,Homoptera,Aphididae,Myzus,,,
Myzus persicae,Homoptera,Aphididae,Myzus,,4,
Myzus persicae,Homoptera,Aphididae,Myzus,165.6,2.2,
Myzus persicae,Homoptera,Aphididae,Myzus,,,
Myzus persicae,Homoptera,Aphididae,Myzus,,,
Myzus persicae,Homoptera,Aphididae,Myzus,132.1,3,
Myzus persicae,Homoptera,Aphididae,Myzus,,,
Myzus persicae,Homoptera,Aphididae,Myzus,,,
Myzus persicae,Homoptera,Aphididae,Myzus,119.8,3.9,
Myzus persicae,Homoptera,Aphididae,Myzus,133,4.3,
Myzus persicae,Homoptera,Aphididae,Myzus,120.66,3.85,
Myzus persicae,Homoptera,Aphididae,Myzus,132,4.36,
Myzus persicae,Homoptera,Aphididae,Myzus,134.9,3.1,
Myzus persicae,Homoptera,Aphididae,Myzus,,4,
Myzus persicae,Homoptera,Aphididae,Myzus,130.2,3.1,
Myzus persicae,Homoptera,Aphididae,Myzus,127.4,3.1,
Myzus persicae,Homoptera,Aphididae,Myzus,,4,28
Myzus persicae,Homoptera,Aphididae,Myzus,,4,30
Myzus persicae,Homoptera,Aphididae,Myzus,106.38,5.19,22
Myzus persicae,Homoptera,Aphididae,Myzus,107.17,4.4,20
Myzus persicae,Homoptera,Aphididae,Myzus,103.66,5.6,24.7
Myzus persicae,Homoptera,Aphididae,Myzus,144.35,4.2,25
Myzus persicae,Homoptera,Aphididae,Myzus,117.69,5.24,26
Nasonovia ribisnigri,Homoptera,Aphididae,Nasonovia,129.8,4.08,24
Pemphigus populitransversus,Homoptera,Aphididae,Pemphigus,201.81,4.73,
Periphyllus koelreuteriae,Homoptera,Aphididae,Periphyllus,248.6,1.46,30
Periphyllus koelreuteriae,Homoptera,Aphididae,Periphyllus,, ,
Prunus persica,Homoptera,Aphididae,Prunus,104.69,9.85,25
Rhopalosiphum maidis,Homoptera,Aphididae,Rhopalosiphum,91.23,6.01,23
Rhopalosiphum maidis,Homoptera,Aphididae,Rhopalosiphum,113.96,5.42,25
Rhopalosiphum maidis,Homoptera,Aphididae,Rhopalosiphum,110.13,4.08,25
Rhopalosiphum maidis,Homoptera,Aphididae,Rhopalosiphum,, ,
Rhopalosiphum maidis,Homoptera,Aphididae,Rhopalosiphum,, ,
Rhopalosiphum maidis,Homoptera,Aphididae,Rhopalosiphum,97.7,6.1,26.3
Rhopalosiphum nymphaeae,Homoptera,Aphididae,Rhopalosiphum,155.5,1.6,
Rhopalosiphum nymphaeae,Homoptera,Aphididae,Rhopalosiphum,,,
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,92.38,7.47,27.5
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,140.8,4.3,28
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,78.75,6.36,23
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,92.04,3.55,25
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,110,6.32,25
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,49.86,11.1,25
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,179.59,-5.63,
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,88.5,5.38,22.79
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,82.92,5.61,23.83
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,86,5.78,25.09
Rhopalosiphum padi,Homoptera,Aphididae,Rhopalosiphum,122.1,3.2,
Rhopalosiphum pseudobrassicae,Homoptera,Aphididae,Rhopalosiphum,123.43,7.69,25
Schizaphis graminum,Homoptera,Aphididae,Schizaphis,,,
Schizaphis graminum,Homoptera,Aphididae,Schizaphis,93.19,5.86,
Schizaphis gramium,Homoptera,Aphididae,Schizaphis,88.79,6.57,26
Silobion avenae,Homoptera,Aphididae,Silobion,150.8,3.9,
Silobion avenae,Homoptera,Aphididae,Silobion,136.8,4.1,24.6
Silobion avenae,Homoptera,Aphididae,Silobion,171.4,2.2,
Silobion avenae,Homoptera,Aphididae,Silobion,150.1,3,
Silobion avenae,Homoptera,Aphididae,Silobion,163.6,3,
Sipha flava,Homoptera,Aphididae,Sipha,172.18,4.23,24
Sitobion avenae,Homoptera,Aphididae,Sitobion,239.38,-8.27,
Sitobion avenae,Homoptera,Aphididae,Sitobion,119.04,4.98,24
Toxoptera citricida,Homoptera,Aphididae,Toxoptera,, ,
Toxoptera citricida,Homoptera,Aphididae,Toxoptera,, ,
Toxoptera citricida,Homoptera,Aphididae,Toxoptera,173.6,5.2,
Toxoptera citricida,Homoptera,Aphididae,Toxoptera,,,
Toxoptera citricida,Homoptera,Aphididae,Toxoptera,,,
Toxptera citricidus,Homoptera,Aphididae,Toxptera,115.06,9.66,25.1
Toxptera citricidus,Homoptera,Aphididae,Toxptera,97.4,8.75,24.9
Tuberolachnus salignus,Homoptera,Aphididae,Tuberolachnus,196.4,5.5,
Philaenus spumarius,Homoptera,Cercopidae,Philaenus,, ,
Philaenus spumarius,Homoptera,Cercopidae,Philaenus,, ,
Philaenus spumarius,Homoptera,Cercopidae,Philaenus,, ,
Austroasca viridigrisea,Homoptera,Cicadellidae,Austroasca,239.4,14,
Cicadella viridis,Homoptera,Cicadellidae,Cicadella,, ,
Cicadulina mbila,Homoptera,Cicadellidae,Cicadulina,343.6,12.9,
Cicadulina mbila,Homoptera,Cicadellidae,Cicadulina,325.4,13.7,
Circulifer opacipennis,Homoptera,Cicadellidae,Circulifer,362.2,15.1,
Circulifer opacipennis,Homoptera,Cicadellidae,Circulifer,307.6,15.2,
Circulifer tenellus,Homoptera,Cicadellidae,Circulifer,361.1,14.4,35
Dikrella californica,Homoptera,Cicadellidae,Dikrella,452.9,8.1,28
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,, ,
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,312.5,8.4,
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,, ,
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,435,11.4,30
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,459,11.4,30
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,396.1,8.3,
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,352.2,8.9,
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,, ,
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,, ,
Erythroneura comes,Homoptera,Cicadellidae,Erythroneura,497,10,
Erythroneura comes,Homoptera,Cicadellidae,Erythroneura,,10,
Erythroneura elegantula,Homoptera,Cicadellidae,Erythroneura,544.4,10.3,
Graminella nigrifrons,Homoptera,Cicadellidae,Graminella,237.6,13.7,
Graminella nigrifrons,Homoptera,Cicadellidae,Graminella,349.3,13.2,
Graminella nigrifrons,Homoptera,Cicadellidae,Graminella,311,13.8,
Homalodisca coagulata,Homoptera,Cicadellidae,Homalodisca,, ,
Macrosteles fascifrons,Homoptera,Cicadellidae,Macrosteles,356.1,10.55,
Nephotettix cincticeps,Homoptera,Cicadellidae,Nephotettix,,,
Nephotettix malayanus,Homoptera,Cicadellidae,Nephotettix,,,
Nephotettix nigropictus,Homoptera,Cicadellidae,Nephotettix,,,
Nephotettix virescens,Homoptera,Cicadellidae,Nephotettix,,,
Typhlocyba froggatti,Homoptera,Cicadellidae,Typhlocyba,486.4,9.4,
Haplaxius crudus,Homoptera,Cixiidae,Haplaxius,904.3,12.8,
Cerostegia japonicus,Homoptera,Coccidae,Cerostegia,, ,
Coccus pseudomagnoliarum,Homoptera,Coccidae,Coccus,,11,
Saissetia coffeae,Homoptera,Coccidae,Saissetia,848.35,6.05,
Saissetia oleae,Homoptera,Coccidae,Saissetia,, ,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,, ,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,, ,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,, ,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,, ,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,295.3,12.1,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,283.4,12.2,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,277.8,12.5,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,258.8,13,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,247.1,13.3,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,243.4,13.3,
Nilaparvata lugens,Homoptera,Delphacidae,Nilaparvata,, ,
Nilaparvata lugens,Homoptera,Delphacidae,Nilaparvata,, ,
Nilaparvata lugens,Homoptera,Delphacidae,Nilaparvata,, ,
Nilaparvata lugens,Homoptera,Delphacidae,Nilaparvata,, ,
Peregrinus maidis,Homoptera,Delphacidae,Peregrinus,, ,
Peregrinus maidis,Homoptera,Delphacidae,Peregrinus,, ,
Sogatella furcifera,Homoptera,Delphacidae,Sogatella,, ,
Sogatella furcifera,Homoptera,Delphacidae,Sogatella,,,
Sogatella furcifera,Homoptera,Delphacidae,Sogatella,,,
Abgrallaspis cyanophylli,Homoptera,Diaspididae,Abgrallaspis,978.3,4.41,
Aonidiella aurantii,Homoptera,Diaspididae,Aonidiella,,11.7,
Aonidiella aurantii,Homoptera,Diaspididae,Aonidiella,,11.7,
Aonidiella aurantii,Homoptera,Diaspididae,Aonidiella,,11.6,
Aonidiella aurantii,Homoptera,Diaspididae,Aonidiella,,11.7,37.8
Aonidiella aurantii,Homoptera,Diaspididae,Aonidiella,281.4,11.6,
Aonidiella aurantii,Homoptera,Diaspididae,Aonidiella,437.6,11.5,
Aonidiella aurantii,Homoptera,Diaspididae,Aonidiella,336.3,12.5,
Aonidiella aurantii,Homoptera,Diaspididae,Aonidiella,,11.5,30
Diaspidiotus uvae,Homoptera,Diaspididae,Diaspidiotus,,10,
Hemiberlesia rapax,Homoptera,Diaspididae,Hemiberlesia,882,10.3,
Hemiberlesia rapax,Homoptera,Diaspididae,Hemiberlesia,,9.3,
Hemiberlesia rapax,Homoptera,Diaspididae,Hemiberlesia,,9.3,
Chionaspis pinifoliae,Homoptera,Diaspididae,Chionaspis,, ,
Lepidosaphes beckii,Homoptera,Diaspididae,Lepidosaphes,,,
Lepidosaphes beckii,Homoptera,Diaspididae,Lepidosaphes,,,
Melanaspis obscura,Homoptera,Diaspididae,Melanaspis,,4.44,
Melanaspis obscura,Homoptera,Diaspididae,Melanaspis,,4.44,
Parlatoria oleae,Homoptera,Diaspididae,Parlatoria,,10,
Pseudaulacaspis pentagona,Homoptera,Diaspididae,Pseudaulacaspis,528.5,4.6,
Pseudaulacaspis pentagona,Homoptera,Diaspididae,Pseudaulacaspis,447.3,5.9,
Quadraspidiotus perniciosus,Homoptera,Diaspididae,Quadraspidiotus,,10.5,
Quadraspidiotus perniciosus,Homoptera,Diaspididae,Quadraspidiotus,555.1,10.7,32.2
Quadraspidiotus perniciosus,Homoptera,Diaspididae,Quadraspidiotus,,7.3,
Quadraspidiotus perniciosus,Homoptera,Diaspididae,Quadraspidiotus,,7.8,32
Quadraspidiotus perniciosus,Homoptera,Diaspididae,Quadraspidiotus,,10.3,32
Quadraspidiotus perniciosus,Homoptera,Diaspididae,Quadraspidiotus,,10.6,32.2
Unaspis citri,Homoptera,Diaspididae,Unaspis,,12.1,
Unaspis euonymi,Homoptera,Diaspididae,Unaspis,, ,
Gossyparia spuria,Homoptera,Eriococcidae,Gossyparia,,11,
Pyrilla perpusilla,Homoptera,Fulgoridae,Pyrilla,,,
Spissistilus festinus,Homoptera,Membracidae,Spissistilus,,,
Viteus vitifoliae,Homoptera,Phylloxeridae,Viteus,,,
Viteus vitifoliae,Homoptera,Phylloxeridae,Viteus,, ,
Viteus vitifoliae,Homoptera,Phylloxeridae,Viteus,,18.85,
Dysmicoccus brevipes,Homoptera,Pseudococcidae,Dysmicoccus,, ,
Phenacoccus herreni,Homoptera,Pseudococcidae,Phenacoccus,207.6,15.4,
Phenacoccus herreni,Homoptera,Pseudococcidae,Phenacoccus,195.8,15.8,
Phenacoccus manihoti,Homoptera,Pseudococcidae,Phenacoccus,,,
Phenacoccus manihoti,Homoptera,Pseudococcidae,Phenacoccus,,,
Phenacoccus manihoti,Homoptera,Pseudococcidae,Phenacoccus,471.6,10,
Planococcus citri,Homoptera,Pseudococcidae,Planococcus,, ,30
Planococcus citri,Homoptera,Pseudococcidae,Planococcus,, ,30
Planococcus kraunhiae,Homoptera,Pseudococcidae,Planococcus,659.5,3.4,30
Planococcus kraunhiae,Homoptera,Pseudococcidae,Planococcus,544.9,6.3,30
Pseudococcus citriculus,Homoptera,Pseudococcidae,Pseudococcus,338.13,11.73,30
Pseudococcus citriculus,Homoptera,Pseudococcidae,Pseudococcus,367.31,12.24,30
Pseudococcus comstocki,Homoptera,Pseudococcidae,Pseudococcus,, ,
Pseudococcus comstocki,Homoptera,Pseudococcidae,Pseudococcus,655.57,10.1,
Saccharicoccus sacchari,Homoptera,Pseudococcidae,Saccharicoccus,,,
Saccharicoccus sacchari,Homoptera,Pseudococcidae,Saccharicoccus,, ,
Saccharicoccus sacchari,Homoptera,Pseudococcidae,Saccharicoccus,,,
Acizzia uncatoides,Homoptera,Psyllidae,Acizzia,442.3,0,
Cacopsylla pyricola,Homoptera,Psyllidae,Cacopsylla,336,6,
Cacopsylla pyricola,Homoptera,Psyllidae,Cacopsylla,,5,
Cacopsylla pyricola,Homoptera,Psyllidae,Cacopsylla,677.9,0.6,
Diaphorina citri,Homoptera,Psyllidae,Diaphorina,, ,
Diaphorina citri,Homoptera,Psyllidae,Diaphorina,237.44,7.59,
Aphelinus abdominalis,Hymenoptera,Aphelinidae,Aphelinus,249.9,8.3,
Aphelinus albipodus,Hymenoptera,Aphelinidae,Aphelinus,205,9.6,
Aphelinus albipodus,Hymenoptera,Aphelinidae,Aphelinus,205,9.7,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,267.7,5.8,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,238.1,7.5,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,246.7,6.4,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,248.8,7.1,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,267.01,5.6,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,229,8.2,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,198,9.3,
Aphelinus gossypii,Hymenoptera,Aphelinidae,Aphelinus,306.24,7.64,
Aphelinus gossypii,Hymenoptera,Aphelinidae,Aphelinus,291.62,8.15,
Aphelinus gossypii,Hymenoptera,Aphelinidae,Aphelinus,291.82,8.18,
Aphelinus mali,Hymenoptera,Aphelinidae,Aphelinus,,,
Aphelinus sp. - near varipes,Hymenoptera,Aphelinidae,Aphelinus,241.4,8.9,
Aphelinus sp. - near varipes,Hymenoptera,Aphelinidae,Aphelinus,233.2,9.2,
Aphelinus sp. - near varipes,Hymenoptera,Aphelinidae,Aphelinus,233.6,9.2,
Aphelinus sp. - near varipes,Hymenoptera,Aphelinidae,Aphelinus,212.77,7.53,
Aphelinus sp. - near varipes,Hymenoptera,Aphelinidae,Aphelinus,,7.41,
Aphelinus sp. nr. varipes,Hymenoptera,Aphelinidae,Aphelinus,214.92,7.61,
Aphelinus sp. nr. varipes,Hymenoptera,Aphelinidae,Aphelinus,212.18,7.7,
Aphelinus sp. nr. varipes,Hymenoptera,Aphelinidae,Aphelinus,205.03,7.95,
Aphelinus spiraecolae,Hymenoptera,Aphelinidae,Aphelinus,317.18,6.62,
